buy_pct,sell_pct,ann_ret,total_ret,max_dd,sharpe,calmar,win_rate,avg_profit,n_trades,ann_trades,years,bh_ret,bh_ann,profit_factor,year_win_rate,n_profit_years,n_total_years
88.0,102.0,9.07,138.02,27.88,0.426,0.325,100.0,15.91,6,0.6,9.99,135.78,8.97,inf,70.0,7,10
88.0,104.0,8.55,126.96,27.86,0.395,0.307,100.0,18.18,5,0.5,9.99,135.78,8.97,inf,70.0,7,10
88.0,106.0,7.6,107.89,30.63,0.344,0.248,100.0,20.45,4,0.4,9.99,135.78,8.97,inf,60.0,6,10
88.0,108.0,8.41,124.02,30.63,0.386,0.275,100.0,22.73,4,0.4,9.99,135.78,8.97,inf,60.0,6,10
88.0,110.0,6.52,87.86,30.63,0.286,0.213,100.0,25.0,2,0.2,9.99,135.78,8.97,inf,60.0,6,10
88.0,112.0,6.9,94.75,30.63,0.304,0.225,100.0,27.27,2,0.2,9.99,135.78,8.97,inf,60.0,6,10
90.0,102.0,10.27,165.46,27.86,0.481,0.369,100.0,13.33,8,0.8,9.99,135.78,8.97,inf,70.0,7,10
90.0,104.0,8.87,133.58,27.85,0.408,0.318,100.0,15.56,6,0.6,9.99,135.78,8.97,inf,60.0,6,10
90.0,106.0,8.36,123.03,30.58,0.382,0.273,100.0,17.78,5,0.5,9.99,135.78,8.97,inf,60.0,6,10
90.0,108.0,9.38,144.9,30.58,0.433,0.307,100.0,20.0,5,0.5,9.99,135.78,8.97,inf,60.0,6,10
90.0,110.0,7.91,113.91,30.58,0.357,0.259,100.0,22.22,3,0.3,9.99,135.78,8.97,inf,60.0,6,10
90.0,112.0,6.18,81.93,30.58,0.265,0.202,100.0,24.44,2,0.2,9.99,135.78,8.97,inf,60.0,6,10
92.0,102.0,8.35,122.71,30.4,0.377,0.275,100.0,10.87,8,0.8,9.99,135.78,8.97,inf,70.0,7,10
92.0,104.0,7.44,104.8,30.4,0.331,0.245,100.0,13.04,6,0.6,9.99,135.78,8.97,inf,60.0,6,10
92.0,106.0,7.18,99.95,30.61,0.319,0.235,100.0,15.22,5,0.5,9.99,135.78,8.97,inf,60.0,6,10
92.0,108.0,8.19,119.45,30.61,0.37,0.267,100.0,17.39,5,0.5,9.99,135.78,8.97,inf,60.0,6,10
92.0,110.0,6.97,95.95,30.61,0.307,0.228,100.0,19.57,3,0.3,9.99,135.78,8.97,inf,60.0,6,10
92.0,112.0,5.48,70.39,30.61,0.228,0.179,100.0,21.74,2,0.2,9.99,135.78,8.97,inf,60.0,6,10
94.0,102.0,11.65,200.55,30.44,0.533,0.383,100.0,8.51,14,1.4,9.99,135.78,8.97,inf,60.0,6,10
94.0,104.0,9.23,141.59,30.44,0.416,0.303,100.0,10.64,9,0.9,9.99,135.78,8.97,inf,60.0,6,10
94.0,106.0,8.29,121.63,30.62,0.368,0.271,100.0,12.77,6,0.6,9.99,135.78,8.97,inf,60.0,6,10
94.0,108.0,8.5,125.81,30.62,0.377,0.277,100.0,14.89,6,0.6,9.99,135.78,8.97,inf,60.0,6,10
94.0,110.0,9.69,151.98,30.62,0.433,0.317,100.0,17.02,6,0.6,9.99,135.78,8.97,inf,60.0,6,10
94.0,112.0,9.0,136.38,30.62,0.403,0.294,100.0,19.15,5,0.5,9.99,135.78,8.97,inf,60.0,6,10
96.0,102.0,11.85,206.07,30.44,0.523,0.389,100.0,6.25,19,1.9,9.99,135.78,8.97,inf,70.0,7,10
96.0,104.0,10.81,178.86,30.41,0.471,0.356,100.0,8.33,13,1.3,9.99,135.78,8.97,inf,70.0,7,10
96.0,106.0,9.83,155.03,30.61,0.424,0.321,100.0,10.42,9,0.9,9.99,135.78,8.97,inf,70.0,7,10
96.0,108.0,9.89,156.55,30.6,0.425,0.323,100.0,12.5,8,0.8,9.99,135.78,8.97,inf,60.0,6,10
96.0,110.0,10.91,181.38,30.45,0.473,0.358,100.0,14.58,7,0.7,9.99,135.78,8.97,inf,70.0,7,10
96.0,112.0,9.77,153.68,30.58,0.421,0.319,100.0,16.67,6,0.6,9.99,135.78,8.97,inf,70.0,7,10
